POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30240 bits [Y 34.2660 dB    U 36.8575 dB    V 37.8613 dB] [ET    23 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30208 bits [Y 34.2174 dB    U 36.9934 dB    V 37.9024 dB] [ET    23 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29576 bits [Y 34.1877 dB    U 36.8649 dB    V 37.8525 dB] [ET    22 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29624 bits [Y 34.1935 dB    U 36.9133 dB    V 37.8542 dB] [ET    23 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      30056 bits [Y 34.2073 dB    U 37.0029 dB    V 38.0100 dB] [ET    22 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29624 bits [Y 34.1617 dB    U 36.8564 dB    V 37.8753 dB] [ET    22 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29480 bits [Y 34.1613 dB    U 36.8953 dB    V 37.9063 dB] [ET    22 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29968 bits [Y 34.2060 dB    U 36.9615 dB    V 37.8590 dB] [ET    22 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29952 bits [Y 34.2059 dB    U 36.8520 dB    V 37.8557 dB] [ET    23 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29928 bits [Y 34.1808 dB    U 36.9397 dB    V 37.8087 dB] [ET    22 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29400 bits [Y 34.1354 dB    U 36.9019 dB    V 37.8322 dB] [ET    22 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29496 bits [Y 34.1680 dB    U 36.8660 dB    V 37.8229 dB] [ET    22 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29368 bits [Y 34.1707 dB    U 36.8322 dB    V 37.8254 dB] [ET    22 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      29512 bits [Y 34.1362 dB    U 36.8789 dB    V 37.9698 dB] [ET    21 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  1795.3363    34.1977  36.9260  37.8443  35.0195  

 finished @ Fri Sep  8 14:54:52 2023
 Total Time:     1886.517 sec. [user]     1886.518 sec. [elapsed]
