POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239624 bits [Y 43.5142 dB    U 44.4207 dB    V 45.5051 dB] [ET    82 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     240040 bits [Y 43.5252 dB    U 44.5027 dB    V 45.5222 dB] [ET    85 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238952 bits [Y 43.5116 dB    U 44.3706 dB    V 45.5045 dB] [ET    82 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     240072 bits [Y 43.5282 dB    U 44.4186 dB    V 45.5665 dB] [ET    82 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239224 bits [Y 43.5163 dB    U 44.3622 dB    V 45.5361 dB] [ET    83 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238592 bits [Y 43.5047 dB    U 44.3671 dB    V 45.6020 dB] [ET    85 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237992 bits [Y 43.5164 dB    U 44.3128 dB    V 45.5038 dB] [ET    83 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237560 bits [Y 43.4735 dB    U 44.4224 dB    V 45.5085 dB] [ET    85 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  14347.8815   43.5002  44.4033  45.5591  43.9299  

 finished @ Mon Sep  4 12:34:52 2023
 Total Time:     6792.678 sec. [user]     6792.679 sec. [elapsed]
