POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79952 bits [Y 36.9640 dB    U 44.4222 dB    V 45.7669 dB] [ET    34 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79432 bits [Y 36.9428 dB    U 44.4312 dB    V 45.6340 dB] [ET    34 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80168 bits [Y 36.9622 dB    U 44.3875 dB    V 45.5916 dB] [ET    36 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80352 bits [Y 36.9903 dB    U 44.1245 dB    V 45.8335 dB] [ET    35 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79576 bits [Y 36.9481 dB    U 44.1425 dB    V 45.5677 dB] [ET    36 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80480 bits [Y 36.9746 dB    U 44.5268 dB    V 45.8300 dB] [ET    33 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79968 bits [Y 36.9217 dB    U 44.3631 dB    V 45.7727 dB] [ET    34 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      78944 bits [Y 36.9939 dB    U 44.4596 dB    V 45.9161 dB] [ET    36 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79640 bits [Y 36.9932 dB    U 44.5012 dB    V 45.8778 dB] [ET    36 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79896 bits [Y 36.9998 dB    U 44.5118 dB    V 46.0557 dB] [ET    35 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79208 bits [Y 36.9620 dB    U 44.5729 dB    V 45.8588 dB] [ET    37 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79552 bits [Y 36.9842 dB    U 44.4034 dB    V 46.0117 dB] [ET    36 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79280 bits [Y 36.9591 dB    U 44.3968 dB    V 45.5870 dB] [ET    34 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79816 bits [Y 36.9623 dB    U 44.2948 dB    V 45.3666 dB] [ET    34 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80352 bits [Y 37.0009 dB    U 44.5176 dB    V 45.6189 dB] [ET    34 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80712 bits [Y 37.0069 dB    U 44.3719 dB    V 45.9154 dB] [ET    34 ] [L0] [L1]
