POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65760 bits [Y 32.4046 dB    U 38.7821 dB    V 40.8293 dB] [ET    42 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65488 bits [Y 32.3914 dB    U 38.8839 dB    V 41.0462 dB] [ET    41 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65720 bits [Y 32.4023 dB    U 38.8535 dB    V 40.9360 dB] [ET    42 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66408 bits [Y 32.4357 dB    U 38.9772 dB    V 40.9935 dB] [ET    41 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65952 bits [Y 32.4036 dB    U 38.8524 dB    V 40.6680 dB] [ET    42 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65712 bits [Y 32.4022 dB    U 38.9411 dB    V 40.8684 dB] [ET    42 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66248 bits [Y 32.4148 dB    U 38.8686 dB    V 40.9295 dB] [ET    43 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65472 bits [Y 32.4005 dB    U 39.0474 dB    V 40.7770 dB] [ET    41 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65928 bits [Y 32.4125 dB    U 39.0009 dB    V 40.6660 dB] [ET    39 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66360 bits [Y 32.4493 dB    U 38.6911 dB    V 40.8365 dB] [ET    39 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65992 bits [Y 32.4280 dB    U 39.1422 dB    V 40.7983 dB] [ET    42 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66192 bits [Y 32.4349 dB    U 38.7971 dB    V 40.9736 dB] [ET    44 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65720 bits [Y 32.3873 dB    U 38.8939 dB    V 40.9679 dB] [ET    43 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65896 bits [Y 32.4301 dB    U 38.6938 dB    V 40.9322 dB] [ET    40 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65976 bits [Y 32.4161 dB    U 38.8257 dB    V 40.6251 dB] [ET    42 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65584 bits [Y 32.3767 dB    U 38.8565 dB    V 40.8424 dB] [ET    40 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66000 bits [Y 32.4330 dB    U 38.7684 dB    V 40.6310 dB] [ET    40 ] [L0] [L1]
