POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385544 bits [Y 37.6114 dB    U 41.5813 dB    V 40.1099 dB] [ET    82 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     386256 bits [Y 37.5970 dB    U 41.6130 dB    V 39.9981 dB] [ET    81 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385264 bits [Y 37.5953 dB    U 41.6696 dB    V 40.0344 dB] [ET    80 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384696 bits [Y 37.5751 dB    U 41.5504 dB    V 39.9744 dB] [ET    79 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385392 bits [Y 37.5883 dB    U 41.7301 dB    V 40.1160 dB] [ET    80 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384880 bits [Y 37.5802 dB    U 41.6621 dB    V 40.1578 dB] [ET    81 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     387040 bits [Y 37.6159 dB    U 41.6481 dB    V 40.0536 dB] [ET    82 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385792 bits [Y 37.6013 dB    U 41.6265 dB    V 40.0297 dB] [ET    82 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     386480 bits [Y 37.6134 dB    U 41.6115 dB    V 40.0367 dB] [ET    80 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     386216 bits [Y 37.6240 dB    U 41.5239 dB    V 40.0134 dB] [ET    83 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  23055.2178   37.6032  41.6275  40.1047  38.4315  

 finished @ Mon Sep 11 12:31:31 2023
 Total Time:     6912.782 sec. [user]     6912.783 sec. [elapsed]
